zip,city,state_id,state_name,population,prob
00601,Adjuntas,PR,Puerto Rico,17126,0.00005141090000
00602,Aguada,PR,Puerto Rico,37896,0.00011376100000
00603,Aguadilla,PR,Puerto Rico,49139,0.00014751100000
00606,Maricao,PR,Puerto Rico,5751,0.00001726400000
00610,Anasco,PR,Puerto Rico,26156,0.00007851820000
00611,Angeles,PR,Puerto Rico,1284,0.00000385447000
00612,Arecibo,PR,Puerto Rico,64090,0.00019239300000
00616,Bajadero,PR,Puerto Rico,10189,0.00003058660000
00617,Barceloneta,PR,Puerto Rico,22804,0.00006845580000
00622,Boqueron,PR,Puerto Rico,7752,0.00002327090000
00623,Cabo Rojo,PR,Puerto Rico,39653,0.00011903500000
00624,Penuelas,PR,Puerto Rico,21915,0.00006578710000
00627,Camuy,PR,Puerto Rico,32885,0.00009871820000
00631,Castaner,PR,Puerto Rico,1098,0.00000329611000
00636,Rosario,PR,Puerto Rico,1175,0.00000352726000
00637,Sabana Grande,PR,Puerto Rico,23019,0.00006910120000
00638,Ciales,PR,Puerto Rico,17690,0.00005310400000
00641,Utuado,PR,Puerto Rico,24918,0.00007480190000
00646,Dorado,PR,Puerto Rico,36142,0.00010849500000
00647,Ensenada,PR,Puerto Rico,5201,0.00001561300000
00650,Florida,PR,Puerto Rico,14301,0.00004293050000
00652,Garrochales,PR,Puerto Rico,3195,0.00000959114000
00653,Guanica,PR,Puerto Rico,9101,0.00002732050000
00656,Guayanilla,PR,Puerto Rico,18634,0.00005593780000
00659,Hatillo,PR,Puerto Rico,37528,0.00011265600000
00660,Hormigueros,PR,Puerto Rico,15633,0.00004692900000
00662,Isabela,PR,Puerto Rico,40505,0.00012159300000
00664,Jayuya,PR,Puerto Rico,15134,0.00004543110000
00667,Lajas,PR,Puerto Rico,23666,0.00007104350000
00669,Lares,PR,Puerto Rico,27763,0.00008334230000
00670,Las Marias,PR,Puerto Rico,8747,0.00002625780000
00674,Manati,PR,Puerto Rico,39569,0.00011878300000
00676,Moca,PR,Puerto Rico,36852,0.00011062700000
00677,Rincon,PR,Puerto Rico,15228,0.00004571320000
00678,Quebradillas,PR,Puerto Rico,25766,0.00007734750000
00680,Mayaguez,PR,Puerto Rico,43072,0.00012929900000
00682,Mayaguez,PR,Puerto Rico,31819,0.00009551810000
00683,San German,PR,Puerto Rico,29666,0.00008905500000
00685,San Sebastian,PR,Puerto Rico,40172,0.00012059300000
00687,Morovis,PR,Puerto Rico,29072,0.00008727180000
00688,Sabana Hoyos,PR,Puerto Rico,11552,0.00003467820000
00690,San Antonio,PR,Puerto Rico,6220,0.00001867190000
00692,Vega Alta,PR,Puerto Rico,33647,0.00010100600000
00693,Vega Baja,PR,Puerto Rico,56146,0.00016854600000
00694,Vega Baja,PR,Puerto Rico,87,0.00000026116700
00698,Yauco,PR,Puerto Rico,34016,0.00010211300000
00703,Aguas Buenas,PR,Puerto Rico,25004,0.00007506000000
00704,Aguirre,PR,Puerto Rico,7180,0.00002155380000
00705,Aibonito,PR,Puerto Rico,24415,0.00007329190000
00707,Maunabo,PR,Puerto Rico,10616,0.00003186840000
00714,Arroyo,PR,Puerto Rico,16184,0.00004858310000
00715,Mercedita,PR,Puerto Rico,2012,0.00000603986000
00716,Ponce,PR,Puerto Rico,27747,0.00008329430000
00717,Ponce,PR,Puerto Rico,14571,0.00004374100000
00718,Naguabo,PR,Puerto Rico,23412,0.00007028100000
00719,Naranjito,PR,Puerto Rico,29556,0.00008872480000
00720,Orocovis,PR,Puerto Rico,20718,0.00006219380000
00723,Patillas,PR,Puerto Rico,16268,0.00004883520000
00725,Caguas,PR,Puerto Rico,79155,0.00023761700000
00727,Caguas,PR,Puerto Rico,52829,0.00015858800000
00728,Ponce,PR,Puerto Rico,39671,0.00011908900000
00729,Canovanas,PR,Puerto Rico,48228,0.00014477700000
00730,Ponce,PR,Puerto Rico,33252,0.00009981990000
00731,Ponce,PR,Puerto Rico,11131,0.00003341440000
00735,Ceiba,PR,Puerto Rico,11624,0.00003489430000
00736,Cayey,PR,Puerto Rico,46169,0.00013859600000
00738,Fajardo,PR,Puerto Rico,30469,0.00009146550000
00739,Cidra,PR,Puerto Rico,35107,0.00010538800000
00740,Puerto Real,PR,Puerto Rico,2022,0.00000606988000
00741,Punta Santiago,PR,Puerto Rico,3901,0.00001171050000
00745,Rio Grande,PR,Puerto Rico,48285,0.00014494800000
00751,Salinas,PR,Puerto Rico,19771,0.00005935100000
00754,San Lorenzo,PR,Puerto Rico,37015,0.00011111600000
00757,Santa Isabel,PR,Puerto Rico,20366,0.00006113710000
00765,Vieques,PR,Puerto Rico,8320,0.00002497600000
00766,Villalba,PR,Puerto Rico,22419,0.00006730010000
00767,Yabucoa,PR,Puerto Rico,31453,0.00009441940000
00769,Coamo,PR,Puerto Rico,35126,0.00010544500000
00771,Las Piedras,PR,Puerto Rico,34884,0.00010471900000
00772,Loiza,PR,Puerto Rico,18150,0.00005448490000
00773,Luquillo,PR,Puerto Rico,17920,0.00005379440000
00775,Culebra,PR,Puerto Rico,1293,0.00000388148000
00777,Juncos,PR,Puerto Rico,38267,0.00011487400000
00778,Gurabo,PR,Puerto Rico,41026,0.00012315700000
00780,Coto Laurel,PR,Puerto Rico,12976,0.00003895290000
00782,Comerio,PR,Puerto Rico,18664,0.00005602780000
00783,Corozal,PR,Puerto Rico,34329,0.00010305300000
00784,Guayama,PR,Puerto Rico,36965,0.00011096600000
00786,La Plata,PR,Puerto Rico,151,0.00000045329000
00791,Humacao,PR,Puerto Rico,47336,0.00014209900000
00794,Barranquitas,PR,Puerto Rico,28435,0.00008535960000
00795,Juana Diaz,PR,Puerto Rico,44057,0.00013225600000
00802,St Thomas,VI,Virgin Islands,103,0.00000030919800
00820,Christiansted,VI,Virgin Islands,100,0.00000030019200
00830,St John,VI,Virgin Islands,100,0.00000030019200
00840,Frederiksted,VI,Virgin Islands,103,0.00000030919800
00850,Kingshill,VI,Virgin Islands,102,0.00000030619600
00851,Kingshill,VI,Virgin Islands,100,0.00000030019200
00901,San Juan,PR,Puerto Rico,8100,0.00002431560000
00906,San Juan,PR,Puerto Rico,172,0.00000051633000
00907,San Juan,PR,Puerto Rico,16623,0.00004990090000
00909,San Juan,PR,Puerto Rico,5010,0.00001503960000
00911,San Juan,PR,Puerto Rico,7350,0.00002206410000
00912,San Juan,PR,Puerto Rico,6233,0.00001871100000
00913,San Juan,PR,Puerto Rico,7462,0.00002240030000
00915,San Juan,PR,Puerto Rico,25585,0.00007680410000
00917,San Juan,PR,Puerto Rico,18507,0.00005555650000
00918,San Juan,PR,Puerto Rico,15393,0.00004620860000
00920,San Juan,PR,Puerto Rico,17250,0.00005178310000
00921,San Juan,PR,Puerto Rico,32959,0.00009894030000
00923,San Juan,PR,Puerto Rico,25916,0.00007779780000
00924,San Juan,PR,Puerto Rico,48017,0.00014414300000
00925,San Juan,PR,Puerto Rico,6131,0.00001840480000
00926,San Juan,PR,Puerto Rico,94563,0.00028387100000
00927,San Juan,PR,Puerto Rico,13664,0.00004101820000
00934,Fort Buchanan,PR,Puerto Rico,124,0.00000037223800
00949,Toa Baja,PR,Puerto Rico,69787,0.00020949500000
00950,Toa Baja,PR,Puerto Rico,3,0.00000000900576
00951,Toa Baja,PR,Puerto Rico,379,0.00000113773000
00952,Sabana Seca,PR,Puerto Rico,7730,0.00002320480000
00953,Toa Alta,PR,Puerto Rico,67608,0.00020295400000
00956,Bayamon,PR,Puerto Rico,64939,0.00019494200000
00957,Bayamon,PR,Puerto Rico,41162,0.00012356500000
00959,Bayamon,PR,Puerto Rico,47786,0.00014345000000
00960,Bayamon,PR,Puerto Rico,3383,0.00001015550000
00961,Bayamon,PR,Puerto Rico,30844,0.00009259120000
00962,Catano,PR,Puerto Rico,20068,0.00006024250000
00965,Guaynabo,PR,Puerto Rico,5395,0.00001619540000
00966,Guaynabo,PR,Puerto Rico,15738,0.00004724420000
00968,Guaynabo,PR,Puerto Rico,3685,0.00001106210000
00969,Guaynabo,PR,Puerto Rico,42145,0.00012651600000
00971,Guaynabo,PR,Puerto Rico,27051,0.00008120500000
00976,Trujillo Alto,PR,Puerto Rico,61871,0.00018573200000
00979,Carolina,PR,Puerto Rico,17315,0.00005197830000
00982,Carolina,PR,Puerto Rico,14154,0.00004248920000
00983,Carolina,PR,Puerto Rico,32750,0.00009831290000
00985,Carolina,PR,Puerto Rico,32264,0.00009685400000
00987,Carolina,PR,Puerto Rico,54952,0.00016496200000
01001,Agawam,MA,Massachusetts,16091,0.00004830390000
01002,Amherst,MA,Massachusetts,27324,0.00008202450000
01003,Amherst,MA,Massachusetts,13713,0.00004116530000
01005,Barre,MA,Massachusetts,4947,0.00001485050000
01007,Belchertown,MA,Massachusetts,15304,0.00004594140000
01008,Blandford,MA,Massachusetts,1173,0.00000352125000
01009,Bondsville,MA,Massachusetts,803,0.00000241054000
01010,Brimfield,MA,Massachusetts,3706,0.00001112510000
01011,Chester,MA,Massachusetts,1332,0.00000399856000
01012,Chesterfield,MA,Massachusetts,505,0.00000151597000
01013,Chicopee,MA,Massachusetts,22711,0.00006817660000
01020,Chicopee,MA,Massachusetts,30707,0.00009218000000
01022,Chicopee,MA,Massachusetts,2236,0.00000671229000
01026,Cummington,MA,Massachusetts,1073,0.00000322106000
01027,Easthampton,MA,Massachusetts,17711,0.00005316700000
01028,East Longmeadow,MA,Massachusetts,16387,0.00004919250000
01029,East Otis,MA,Massachusetts,513,0.00000153999000
01030,Feeding Hills,MA,Massachusetts,12629,0.00003791130000
01031,Gilbertville,MA,Massachusetts,1579,0.00000474003000
01032,Goshen,MA,Massachusetts,431,0.00000129383000
01033,Granby,MA,Massachusetts,6111,0.00001834470000
01034,Granville,MA,Massachusetts,1991,0.00000597682000
01035,Hadley,MA,Massachusetts,5294,0.00001589220000
01036,Hampden,MA,Massachusetts,4992,0.00001498560000
01037,Hardwick,MA,Massachusetts,694,0.00000208333000
01038,Hatfield,MA,Massachusetts,2601,0.00000780800000
01039,Haydenville,MA,Massachusetts,1675,0.00000502822000
01040,Holyoke,MA,Massachusetts,38481,0.00011551700000
01050,Huntington,MA,Massachusetts,2593,0.00000778398000
01053,Leeds,MA,Massachusetts,2018,0.00000605788000
01054,Leverett,MA,Massachusetts,1795,0.00000538845000
01056,Ludlow,MA,Massachusetts,21052,0.00006319640000
01057,Monson,MA,Massachusetts,8291,0.00002488890000
01060,Northampton,MA,Massachusetts,14975,0.00004495380000
01062,Florence,MA,Massachusetts,9837,0.00002952990000
01063,Northampton,MA,Massachusetts,2533,0.00000760386000
01066,North Hatfield,MA,Massachusetts,51,0.00000015309800
01068,Oakham,MA,Massachusetts,1622,0.00000486912000
01069,Palmer,MA,Massachusetts,8871,0.00002663000000
01070,Plainfield,MA,Massachusetts,624,0.00000187320000
01071,Russell,MA,Massachusetts,1282,0.00000384846000
01072,Shutesbury,MA,Massachusetts,1375,0.00000412764000
01073,Southampton,MA,Massachusetts,6161,0.00001849480000
01074,South Barre,MA,Massachusetts,586,0.00000175913000
01075,South Hadley,MA,Massachusetts,18051,0.00005418770000
01077,Southwick,MA,Massachusetts,9292,0.00002789380000
01079,Thorndike,MA,Massachusetts,523,0.00000157000000
01080,Three Rivers,MA,Massachusetts,2279,0.00000684138000
01081,Wales,MA,Massachusetts,1750,0.00000525336000
01082,Ware,MA,Massachusetts,10441,0.00003134310000
01083,Warren,MA,Massachusetts,2703,0.00000811419000
01084,West Chesterfield,MA,Massachusetts,102,0.00000030619600
01085,Westfield,MA,Massachusetts,41718,0.00012523400000
01088,West Hatfield,MA,Massachusetts,666,0.00000199928000
01089,West Springfield,MA,Massachusetts,28817,0.00008650630000
01092,West Warren,MA,Massachusetts,1249,0.00000374940000
01093,Whately,MA,Massachusetts,160,0.00000048030700
01094,Wheelwright,MA,Massachusetts,70,0.00000021013400
01095,Wilbraham,MA,Massachusetts,14738,0.00004424230000
01096,Williamsburg,MA,Massachusetts,2414,0.00000724664000
01097,Woronoco,MA,Massachusetts,66,0.00000019812700
01098,Worthington,MA,Massachusetts,1045,0.00000313701000
01103,Springfield,MA,Massachusetts,2171,0.00000651717000
01104,Springfield,MA,Massachusetts,23228,0.00006972860000
01105,Springfield,MA,Massachusetts,12530,0.00003761410000
01106,Longmeadow,MA,Massachusetts,16152,0.00004848700000
01107,Springfield,MA,Massachusetts,12387,0.00003718480000
01108,Springfield,MA,Massachusetts,26257,0.00007882140000
01109,Springfield,MA,Massachusetts,31244,0.00009379200000
01118,Springfield,MA,Massachusetts,15075,0.00004525400000
01119,Springfield,MA,Massachusetts,13803,0.00004143550000
01128,Springfield,MA,Massachusetts,3235,0.00000971121000
01129,Springfield,MA,Massachusetts,5917,0.00001776240000
01144,Springfield,MA,Massachusetts,0,0.00000000000000
01151,Indian Orchard,MA,Massachusetts,9643,0.00002894750000
01201,Pittsfield,MA,Massachusetts,45372,0.00013620300000
01220,Adams,MA,Massachusetts,8162,0.00002450170000
01222,Ashley Falls,MA,Massachusetts,757,0.00000227245000
01223,Becket,MA,Massachusetts,2659,0.00000798211000
01224,Berkshire,MA,Massachusetts,188,0.00000056436100
01225,Cheshire,MA,Massachusetts,3246,0.00000974423000
01226,Dalton,MA,Massachusetts,6359,0.00001908920000
01229,Glendale,MA,Massachusetts,142,0.00000042627300
01230,Great Barrington,MA,Massachusetts,9142,0.00002744360000
01235,Hinsdale,MA,Massachusetts,2612,0.00000784102000
01236,Housatonic,MA,Massachusetts,1635,0.00000490814000
01237,Lanesborough,MA,Massachusetts,2335,0.00000700948000
01238,Lee,MA,Massachusetts,5629,0.00001689780000
01240,Lenox,MA,Massachusetts,4928,0.00001479350000
01242,Lenox Dale,MA,Massachusetts,282,0.00000084654200
01243,Middlefield,MA,Massachusetts,163,0.00000048931300
01244,Mill River,MA,Massachusetts,167,0.00000050132100
01245,Monterey,MA,Massachusetts,773,0.00000232048000
01247,North Adams,MA,Massachusetts,15407,0.00004625060000
01253,Otis,MA,Massachusetts,881,0.00000264469000
01254,Richmond,MA,Massachusetts,996,0.00000298991000
01255,Sandisfield,MA,Massachusetts,867,0.00000260267000
01256,Savoy,MA,Massachusetts,709,0.00000212836000
01257,Sheffield,MA,Massachusetts,2034,0.00000610591000
01258,South Egremont,MA,Massachusetts,164,0.00000049231500
01259,Southfield,MA,Massachusetts,720,0.00000216138000
01260,South Lee,MA,Massachusetts,334,0.00000100264000
01262,Stockbridge,MA,Massachusetts,1628,0.00000488713000
01264,Tyringham,MA,Massachusetts,254,0.00000076248800
01266,West Stockbridge,MA,Massachusetts,920,0.00000276177000
01267,Williamstown,MA,Massachusetts,8167,0.00002451670000
01270,Windsor,MA,Massachusetts,951,0.00000285483000
01301,Greenfield,MA,Massachusetts,17902,0.00005374040000
01330,Ashfield,MA,Massachusetts,1545,0.00000463797000
01331,Athol,MA,Massachusetts,13872,0.00004164260000
01337,Bernardston,MA,Massachusetts,2493,0.00000748379000
01338,Buckland,MA,Massachusetts,100,0.00000030019200
01339,Charlemont,MA,Massachusetts,1493,0.00000448187000
01340,Colrain,MA,Massachusetts,1819,0.00000546049000
01341,Conway,MA,Massachusetts,1661,0.00000498619000
01342,Deerfield,MA,Massachusetts,1137,0.00000341318000
01343,Drury,MA,Massachusetts,152,0.00000045629200
01344,Erving,MA,Massachusetts,1700,0.00000510326000
01346,Heath,MA,Massachusetts,410,0.00000123079000
01347,Lake Pleasant,MA,Massachusetts,208,0.00000062439900
01349,Millers Falls,MA,Massachusetts,716,0.00000214938000
01350,Monroe Bridge,MA,Massachusetts,117,0.00000035122500
01351,Montague,MA,Massachusetts,2728,0.00000818924000
01354,Gill,MA,Massachusetts,1708,0.00000512728000
01355,New Salem,MA,Massachusetts,1010,0.00000303194000
01360,Northfield,MA,Massachusetts,2899,0.00000870257000
01364,Orange,MA,Massachusetts,7687,0.00002307580000
01366,Petersham,MA,Massachusetts,1142,0.00000342819000
01367,Rowe,MA,Massachusetts,474,0.00000142291000
01368,Royalston,MA,Massachusetts,1464,0.00000439481000
01370,Shelburne Falls,MA,Massachusetts,3690,0.00001107710000
01373,South Deerfield,MA,Massachusetts,5076,0.00001523770000
01375,Sunderland,MA,Massachusetts,3669,0.00001101400000
01376,Turners Falls,MA,Massachusetts,4970,0.00001491950000
01378,Warwick,MA,Massachusetts,765,0.00000229647000
01379,Wendell,MA,Massachusetts,822,0.00000246758000
01380,Wendell Depot,MA,Massachusetts,50,0.00000015009600
01420,Fitchburg,MA,Massachusetts,41767,0.00012538100000
01430,Ashburnham,MA,Massachusetts,6319,0.00001896910000
01431,Ashby,MA,Massachusetts,3192,0.00000958213000
01432,Ayer,MA,Massachusetts,7914,0.00002375720000
01434,Devens,MA,Massachusetts,2245,0.00000673931000
01436,Baldwinville,MA,Massachusetts,3676,0.00001103510000
01438,East Templeton,MA,Massachusetts,365,0.00000109570000
01440,Gardner,MA,Massachusetts,21311,0.00006397390000
01450,Groton,MA,Massachusetts,11220,0.00003368150000
01451,Harvard,MA,Massachusetts,5069,0.00001521670000
01452,Hubbardston,MA,Massachusetts,4341,0.00001303130000
